Year;OType;District;Party;Cand1;Cand2;Gen1;Gen2;Pri1;Pri2;Opp;PriTotal;PriOpp;DIME1;DIME2
2012;Assembly;1;REP;Brian Dahle;Rick Bosetti;116098;60920;41384;34457;Y;120845;31120;0.297;0.572
2012;Assembly;5;REP;Frank Bigelow;Rico Oller;82293;75071;29584;34673;Y;102287;31721;0.389;0.548
2012;Assembly;10;DEM;Michael Allen;Marc Levine;91973;96421;32922;25920;Y;106351;22708;-0.992;-0.503
2012;Assembly;18;DEM;Rob Bonta;Abel Guillen;75865;74422;23007;18521;Y;62290;9082;-0.933;-1.204
2012;Assembly;19;DEM;Phil Ting;Michael Breyer;92858;66200;38432;14991;Y;68144;11646;-0.887;-0.862
2012;Assembly;20;DEM;Bill Quirk;Jennifer Ong;67028;66111;17177;14560;Y;56665;10041;-0.979;-0.843
2012;Assembly;23;REP;Bob Whalen;Jim Patterson;69457;83817;19992;30827;Y;78274;17690;0.683;0.369
2012;Assembly;39;DEM;Raul Bocanegra;Richard Alarcon;62612;44624;11521;8567;Y;31841;9330;-0.528;-0.798
2012;Assembly;47;DEM;Joe Baca Jr;Cheryl R Brown;42475;53434;11033;7566;Y;26071;7472;-0.651;-0.524
2012;Assembly;50;DEM;Richard Bloom;Betsy Butler;93445;91740;15947;16084;Y;62413;15227;-0.526;-1.108
2012;Assembly;51;DEM;Jimmy Gomez;Luis Lopez;63292;42618;10452;6871;N;27932;0;-0.852;-1.217
2012;Assembly;67;REP;Phil Paule;Melissa Melendez;61230;67232;11951;10084;N;43214;0;1.007;0.088
2012;Assembly;72;REP;Troy Edgar;Travis Allen;62983;79110;18060;12851;Y;64568;21248;0.738;0.26
2012;Assembly;76;REP;Sherry Hodges;Rocky J Chavez;63526;88295;21100;25143;N;64813;0;0.893;0.3
2012;Reps;8;REP;Paul Cook;Gregg Imus;103093;76551;12517;12754;Y;81856;19615;0.331;1.141
2012;Reps;15;DEM;Eric Swalwell;Fortney Pete Stark;120388;110646;34347;39943;N;94908;0;-0.631;-0.534
2012;Reps;30;DEM;Howard L Berman;Brad Sherman;98395;149456;31086;40589;Y;95833;21390;-0.829;-0.664
2012;Reps;31;REP;Bob Dutton;Gary G Miller;72255;88964;15557;16708;Y;62667;30402;0.37;0.547
2012;Reps;35;DEM;Joe Baca;Gloria Negrete McLeod;62982;79698;15388;12425;N;34185;0;-0.511;-0.673
2012;Reps;43;DEM;Maxine Waters;Bob Flores;143123;57771;36062;19061;N;55123;0;-0.834;-1.25
2012;Reps;44;DEM;Janice Hahn;Laura Richardson;99909;65989;24843;16523;N;41366;0;-0.956;-0.735
2012;Senators;13;DEM;Jerry Hill;Sally J Lieber;218775;112321;76033;33566;N;148919;0;-0.673;-1.017
2012;Senators;15;DEM;Joe Coto;Jim Beall;122345;160451;55387;69179;N;124566;0;-0.644;-0.906
2014;Assembly;7;DEM;Steve Cohn;Kevin McCarty;33051;46983;15877;18935;Y;54209;12984;-0.643;-0.918
2014;Assembly;15;DEM;Elizabeth Echols;Tony Thurmond;56071;66661;21664;16963;Y;69573;7531;-1.235;-1.153
2014;Assembly;17;DEM;David Campos;David Chiu;60416;63041;31951;34863;Y;72657;5843;-1.316;-1.088
2014;Assembly;64;DEM;Mike Gipson;Prophet LaOmar Walker;30041;17217;11975;5022;N;23500;0;-0.639;-1.152
2014;Assembly;74;REP;Keith D Curry;Matthew Harper;40896;60070;17013;15309;Y;61543;21288;0.349;0.763
2014;Reps;4;REP;Tom McClintock;Arthur Art Moore;126784;84350;80999;32855;N;144154;0;1.161;0.273
2014;Reps;17;DEM;Mike Honda;Ro Khanna;69561;64847;43607;25384;Y;90504;21513;-1.007;-0.92
2014;Reps;25;REP;Steve Knight;Tony Strickland;60847;53225;18327;19090;Y;64532;20464;0.465;0.872
2014;Reps;35;DEM;Christina Gagnier;Norma J Torres;22753;39502;4081;17996;N;27401;567;-1.613;-0.716
2014;Senators;26;DEM;Ben Allen;Sandra Fluke;122901;80781;25987;22759;N;117142;0;-0.734;-1.394
2014;Senators;28;REP;Bonnie Garcia;Jeff Stone;72353;81698;18884;20807;Y;95039;32079;0.516;0.448
